"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Botswana","BWA","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53749.9792838623","49466.8300171319","236997.71297207","247619.244142257","2421176.2782088","2813643.04248601","","36430.737316123","525097.731123458","627109.02576937","385320.831203278","2545272.97887213","5630400.28445943","4731227.69210047","3544224.69197174","9850784.18918259","7824640.24149701","15234934.8510487","15626017.9575775","24593296.84878","21622236.495195","11912980.0277463","7147247.7978813","18176972.7544648","26413918.5457062","11480208.5738601","11878826.1395296","18816880.2220325","24465781.8570309","17784678.0372272","22527750.3017195","14372645.7489985","23808827.3563257",
"Central African Republic","CAF","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","196800722.176784","239073237.865616","297101984.786622","358458286.681928","355245971.541701","741803143.865527","957013325.472929","1145021557.28318","1322842000.2","1426927179.3162","1520113218.06811","1487210981.32234","1625855904.70801","1727467136.68532","1927791054.31602","2070092564.59281","2527848912.19423","2860790490.41975","3555326072.22649","3963471080.31621","4093072051.12688","4066324461.93423","4876344939.37884","4575014121.57506","5335722680.55292","6131297456.61518","6591065079.78293","7757528712.92087","7521598353.19968","8419206395.05542","10019774064.4235","10420741982.7395","8950038822.77418","8349489858.42485","7310927290.48711","7178169057.36051","8049896554.98305","10539941061.7253","13458904779.6077","14571873679.0554","16236043375.506","16432765492.0732",
"Central Europe and the Baltics","CEB","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","978009076.36563","1218108799.80227","889571774.523932","1045615591.14204","1175677177.47249","1244318889.47595","1323989418.35498","1622910320.04755","1733723519.80426","2070880107.56863","2499115411.67939","3783018324.3153","5036091508.19218","6426212368.44769","9618581122.92238","9035873121.00212","9664184975.92044","11613024876.7693","12485935813.0073","14443515951.7247","16526627743.9962","16005637290.567","19291521805.4848","23299285329.8622","28067392712.7761","30308926314.8123","33443643485.2742","40768149317.8694","46362370983.2029",
"Switzerland","CHE","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","128977231.393884","142615455.660274","156369814.697764","122336325.489272","147639674.400585","162539557.522501","169593127.42373","176619544.515209","215699242.000305","340204752.892037","424492715.557467","401148089.933711","345737121.200544","423637814.264034","405511422.079393","481290837.956648","454312688.225407","465674850.158204","525933375.288854","515853431.60654","488523319.409155","622769838.578701","842575248.194353","4703596870.86061","4617972529.71343","5147764200.46148","5767871805.67732","6949878129.97247","7046961272.13433","7083366267.46966","7531029555.36937","8634167765.15297","9197869097.63162","10158075517.9917","11540420324.6095","12330838491.3606","13422731399.4476","15555257589.4865","15159223477.1974","15301989156.9389","14897739426.5732","14389858860.0401","12907380896.9365","13078520964.7374","14125936612.3974","15386980397.7931",
"Channel Islands","CHI","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","1000000","1000000","1000000","","4000000","4000000","5000000","9000000","13000000","13000000","1000000","26800000","43700000","4600000","2100000","17400000","31200000","35300000","52700000","76900000","179000000","219700000","217900000","228800000","212900000","240700000","167555856.866015","224699000","239723700.831743","266399208.647847","233714549.664658","221644988.70972","234246828.19637","303479743.56907","255242155.975526","286135584.18796","339874690.690348","396182481.843844","352629578.01145","342669388.91258","316877638.155701","344413567.203983","346544543.4728","374911761.820047","382946372.909109","379690903.233987","494259409.143919","507491006.723927",
"China","CHN","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","27000000","22000000","32000000","13000000","15000000","12000000","24000000","118000000","159000000","221000000","349000000","471000000","706000000","755730000","315000000","356000000","953000000","855000000","1701397000","732000000","1188274443.8685","1740585697.1592","2188203137.72017","2325415190.2004","3695581718.35135","5519303661.73875","7821725693.62919","7709972564","10476412987","13908433591","16246869227","17098439900","20172914775.51","24548939490.86","25432487660.12","26860401824.33","30023209195.34","34947506467.31","38983783526.85","50717900561.08","55692209101.6",
"Cote d'Ivoire","CIV","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90947822.5419172","92832352.9492472","102817119.0209","112878723.566515","108118361.894485","104614404.157831","94169540.0059422","86700339.962606","91769022.8515006","93093949.6363683","79710043.2227682","98032533.8190084","141869753.616867","162605321.601036","154647613.650687","118409116.0415","125777586.597597","",
"Cameroon","CMR","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","490895.472052643","","3021673.26555604","470207.202260229","7345790.15900881","2233195.92795561","2191227.67821032","2436762.65846404","2521592.50624961","2404094.52926385","16987506.0418941","9902866.71492567","5537910.28494842","2659741.4848439","8467238.04080056","4024043.25835695","25469025.7085539","21640033.9674345","53466653.7846267","56222911.005205","42430920.1993064","45228739.9828666","98641246.4417447","60747181.6148724","41999274.4189026","96600812.2157388","95942399.1254381","105091070.114944","107267268.342882","95862446.8923601","119610646.86998","132133329.409653","143952321.48032","139417338.553095","149516051.479357","57768430.7018239","70478046.8639412",
"Congo, Dem. Rep.","COD","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28500000","57500000","62300000","101400000","92500000","67400000","74400000","44523065.4083705","17376123.283376","10899067.5812208","8061125.56158891","5795559.05171058","6567829.13197229","3484392.53202452","2120205.87507107","3819428.05380029","4064631.8826712","",
"Congo, Rep.","COG","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142242.259648111","455476.283977139","349512.942879729","1066188.8430818","381819.944372826","913816.8268861","2895967.61365876","3753712.48599599","5345772.9937881","9481584.28526808","","","10379544.5415226","21544841.0478412","23132366.8587699","15830822.2185296","76751417.4599885","24943378.5085427","22866994.5360778","8787717.64481091","3066583.4356568","15384599.416984","","","7089813.82249802","3858676.1710565","","",
"Colombia","COL","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257462970","257758800","247415030","235999230","167213490","157733490","176023761.59668","179551099.639893","147595371.063232","137022804.80957","181918448.608398","215332459.289551","241623560.302734","363490734.008789","459229936.523439","498661981.445312","466820066.894531","547330875.976562","629871498.535156","635805339.355469","600856204.101563","516592090.332032","507097099.121093","544235398.925781","577598817.382813","527338427.734375","534428741.210938","658266051.53218","1104773575.05068",
"Comoros","COM","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6171206.32917324","6695262.7166372","10304878.439536","10920852.771106","14256134.4996502","11927353.1520549","14770920.2848535","15770056.2215041","17928257.4114194","15566757.7897103","","21661599.4231433","18271846.2164762","17612575.583775","18419786.7321644","20218604.3259425","17249428.9838613","17951525.5633869","7428432.62410691","11847573.7730009",
"Cabo Verde","CPV","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","3214894.3755103","2550664.30776702","2168558.04569019","5030748.14130818","4403967.79087408","2705182.85100299","3715313.21477146","7091636.22302049","9844075.29493408","4813088.03492209","3400958.75219118","4733772.45645726","5601486.30888155","10883463.1666477","10903721.0903257","12776399.0009951","14620157.7472931","17163242.5920236","18800717.3607484","22740254.823905","25905568.0624033","30819909.0888122","27818767.7642899","23250825.8506003","28559561.9080872","24108863.7009535","27574299.4043915","52407751.8563445","23845238.4699506","28659322.5647545","14579669.0467656","13010155.8737914","9742652.78533192","8469371.02842576","8962604.73877355","10095998.5460778",
"Costa Rica","CRI","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57300000","76450000","79960000","87650000","140288000","141131448.758484","167776656.599905","128615156.190127","129135927.125314","180371002.496032","218157741.464289","267974633.244693","288743244.269338","301997378.309354","350466877.742154","538123299.972831","653246575.787481","691596852.894252","723417414.483798","849129591.486417","1001667422.27906","1094729526.60857","1163435922.18225","1149879880.59366","1239166298.07787","1364874591.45384","1510976368.72098","1868132257.09455",
"Caribbean small states","CSS","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","352125055.555556","377432870.37037","447238904.717397","474690567.904881","464412262.922427","596763259.259259","470122643.679956","394936725.495094","384045655.079815","352243598.314815","410372696.464713","373579505.066977","349225911.378083","350560177.60997","334297318.7058","359116733.234244","343341583.365982","315378344.567155","297514853.597718","203004749.81221","235686526.206914","228958223.306064","245009472.596381","231032597.803406","219685222.892251","227552249.218695","237988906.165814","317380139.308413","334378017.378953",
"Cuba","CUB","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21944134.0782123","29150837.9888268","26681564.2458101","33134078.2122905","26491620.1117318","25379888.2681564","27470976.1675978","22574062.424581","37601870.8603352","29823334.1843575","30731126.5418994","33423869.3854749",
"Cayman Islands","CYM","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9312043.51532488","18105418.1429771","16625621.2826419","16146682.9560417","17154290.8296924","25120364.6186548","",
"Cyprus","CYP","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","1461647.49530134","980100.103209533","2141828.7785852","3103453.35858553","5098403.62711275","9254189.25037846","6100307.19469676","5506599.86618501","7478085.8929988","7672814.02090661","10228834.795794","9769348.11599681","10929457.4953041","11321710.2723798","10915125.9814745","17225471.7356924","20909864.5808212","15279294.4450718","14628467.4039143","13262008.2880184","13081391.4525974","26269838.5929226","69135247.7595819","84722701.2175665","82421671.8976401","114724622.401013","126069605.0094","138248828.091893","281952911.279318","260899851.078189","288390980.508865","386717579.823739","945174768.75402","894849364.691755","696129543.541873","719909362.540855","938320752.93467","1392778188.06339","","","","2261072627.64038","2396518564.17296","3069062219.78018","4292923370.39009","6092384055.21669","7263507138.66674",
